,status,gender,firstName,level,lastName,userId,ts,auth,page,sessionId,location,itemInSession,userAgent,method,length,song,artist,time,registration
2618439,200,M,Ayden,paid,Oneal,1594905,1539076376000,Logged In,NextSong,20973,"San Antonio-New Braunfels, TX",108,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,193.25342,Whispers In The Dark (Radio Edit),Skillet,2018-10-09 09:12:56,2018-10-09 02:53:40
2657620,200,M,Karter,paid,Mathews,1909504,1539085897000,Logged In,NextSong,53209,"New Haven-Milford, CT",10,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,259.18649,Opus No. 14,Dustin O'Halloran,2018-10-09 11:51:37,2018-08-04 16:00:28
21116404,200,F,Joseline,free,Webb,1341470,1538369589000,Logged In,NextSong,1332,"Grand Island, NE",152,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",PUT,244.89751,Poison,BeyoncÃÂ©,2018-10-01 04:53:09,2018-09-19 10:43:29
7658568,200,F,Haley,paid,Johnson,1083056,1540351149000,Logged In,NextSong,108512,"Dallas-Fort Worth-Arlington, TX",177,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10""",PUT,204.61669,Piece By Piece,Katie Melua,2018-10-24 03:19:09,2018-08-28 09:20:07
13042065,200,F,Riley,paid,Marshall,1254491,1541717503000,Logged In,NextSong,166122,"Miami-Fort Lauderdale-West Palm Beach, FL",373,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",PUT,164.20526,Right Wheel_ Left Hammer_ Sham,The Tremeloes,2018-11-08 22:51:43,2018-09-01 06:45:48
6111788,200,M,Elijah,paid,Matthews,1003912,1539936278000,Logged In,Add to Playlist,96225,"Providence-Warwick, RI-MA",48,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",PUT,,,,2018-10-19 08:04:38,2018-06-23 11:24:51
3936196,200,M,Tate,paid,Sanchez,1011555,1539373420000,Logged In,NextSong,63643,"Chattanooga, TN-GA",88,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",PUT,239.3073,You're The One,Dwight Yoakam,2018-10-12 19:43:40,2018-08-01 23:40:14
21781802,200,M,Rowdy,free,Boyd,1796586,1539956904000,Logged In,Roll Advert,13845,"Corpus Christi, TX",59,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",GET,,,,2018-10-19 13:48:24,2018-09-23 14:45:46
4327926,200,F,Ximena,paid,Hill,1839749,1539504985000,Logged In,NextSong,79688,"Hattiesburg, MS",20,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.8 (KHTML, like Gecko) Version/8.0 Safari/600.1.8""",PUT,218.64444,Now Or Never (Album Version),Josh Groban,2018-10-14 08:16:25,2018-08-12 17:55:58
7810383,200,M,Grayson,paid,Chan,1963776,1540388849000,Logged In,NextSong,115078,"Washington-Arlington-Alexandria, DC-VA-MD-WV",84,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,284.05506,Juggernauts,Enter Shikari,2018-10-24 13:47:29,2018-07-26 06:36:26
24093884,200,M,Emmanuel,paid,Martinez,1440854,1540233854000,Logged In,NextSong,9144,"Birmingham-Hoover, AL",15,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",PUT,374.20363,Ghosts 'n' Stuff (Original Instrumental Mix),Deadmau5,2018-10-22 18:44:14,2018-08-04 17:26:00
24895844,200,F,Maddison,paid,Ayala,1764720,1541490475000,Logged In,NextSong,27835,"Georgetown, SC",11,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,246.43873,Mescaline (Album Version),Robert Francis,2018-11-06 07:47:55,2018-09-22 21:10:02
8487668,200,M,Troy,paid,Barrera,1133352,1540535534000,Logged In,NextSong,123537,"New York-Newark-Jersey City, NY-NJ-PA",101,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,269.71383,Heartbreak Warfare,John Mayer,2018-10-26 06:32:14,2018-09-17 22:23:55
15378027,200,F,Yaneli,free,Barnett,1197501,1542333393000,Logged In,NextSong,194527,"Ithaca, NY",185,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",PUT,269.45261,Recycled Air (Album),Postal Service,2018-11-16 01:56:33,2018-09-13 21:56:17
5889195,200,M,Mason,paid,Contreras,1484934,1539887068000,Logged In,NextSong,96758,"Oklahoma City, OK",96,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53""",PUT,167.83628,Got Me,She & Him,2018-10-18 18:24:28,2018-08-11 21:01:41
11220109,200,M,Treyvon,paid,Williams,1614888,1541222697000,Logged In,NextSong,144510,"Jackson, MS",169,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,173.13914,Heart Less,A Day To Remember,2018-11-03 05:24:57,2018-09-11 01:26:55
4927267,200,M,Stephen,paid,Norris,1859867,1539671761000,Logged In,NextSong,72124,"Washington-Arlington-Alexandria, DC-VA-MD-WV",109,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,281.93914,She Moves She,Four Tet,2018-10-16 06:36:01,2018-09-30 06:13:24
10964011,200,F,Myra,paid,Wilson,1355910,1541163527000,Logged In,NextSong,149200,"Buffalo-Cheektowaga-Niagara Falls, NY",175,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.8 (KHTML, like Gecko) Version/8.0 Safari/600.1.8""",PUT,208.97914,Nobody's Child (2007 Remastered Tribute LP Version),Traveling Wilburys,2018-11-02 12:58:47,2018-08-26 13:49:29
10644320,200,M,Ashton,free,Nicholson,1811950,1541089818000,Logged In,NextSong,138171,"Springfield, MA",24,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",PUT,301.06077,The Invisible Man,Michael Cretu,2018-11-01 16:30:18,2018-08-09 23:34:52
9788365,307,M,Coy,paid,Patterson,1916092,1540898871000,Logged In,Thumbs Down,106384,"Flint, MI",368,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,,,,2018-10-30 11:27:51,2018-08-25 09:44:43
8759036,200,F,Payton,paid,Zamora,1581846,1540594080000,Logged In,Add to Playlist,125727,"Jackson, MS",153,"""Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,,,,2018-10-26 22:48:00,2018-09-18 12:47:39
13274027,307,F,Aviya,paid,Ellis,1702564,1541774764000,Logged In,Add Friend,155976,"Modesto, CA",92,Mozilla/5.0 (Windows NT 5.1; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,,,,2018-11-09 14:46:04,2018-07-13 09:56:50
6080420,200,M,Shay,paid,Johnson,1227877,1539928472000,Logged In,NextSong,97850,"Baltimore-Columbia-Towson, MD",217,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",PUT,287.79057,Por Favor SeÃÂ±ora,Maelo Ruiz,2018-10-19 05:54:32,2018-08-25 16:57:14
13982664,200,M,Benjamin,paid,Church,1758339,1542011676000,Logged In,NextSong,169755,"Los Angeles-Long Beach-Anaheim, CA",56,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",PUT,122.04363,Only In America,Jay & The Americans,2018-11-12 08:34:36,2018-09-21 16:29:58
15589398,200,M,Garrett,paid,Callahan,1270842,1542387367000,Logged In,NextSong,192989,"Tulsa, OK",103,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",PUT,128.91383,Stand By Your Manatee,Future Of The Left,2018-11-16 16:56:07,2018-09-12 01:05:58
3799520,307,M,Jayden,free,Castro,1256997,1539345364000,Logged In,Thumbs Up,61483,"Kansas City, MO-KS",83,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14""",PUT,,,,2018-10-12 11:56:04,2018-10-05 12:13:12
8268279,200,F,Michelle,paid,Holden,1504617,1540487834000,Logged In,NextSong,119078,"Denver-Aurora-Lakewood, CO",409,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",PUT,210.54649,Deepest Blue,Deepest Blue,2018-10-25 17:17:14,2018-09-22 11:02:05
3704496,200,M,Clarence,paid,Hopkins,1969311,1539321584000,Logged In,NextSong,71045,"Midland, TX",162,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",PUT,259.36934,Undantag,Bo Kaspers Orkester,2018-10-12 05:19:44,2018-07-19 10:37:53
24592564,200,F,Rebecca,free,Peterson,1913497,1540981914000,Logged In,NextSong,19985,"Barnstable Town, MA",58,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,365.89669,What is Music?,Amplifier,2018-10-31 10:31:54,2018-09-28 11:51:45
23721201,307,F,Aleen,paid,White,1961543,1539675446000,Logged In,Logout,11251,"Gettysburg, PA",7,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",PUT,,,,2018-10-16 07:37:26,2018-09-28 07:58:40
11338717,200,M,Jake,paid,Hall,1414786,1541267554000,Logged In,NextSong,154794,"Columbus, OH",57,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,183.74485,The More I See You,June Christy,2018-11-03 17:52:34,2018-08-16 14:47:37
11493544,200,F,Claire,paid,Park,1733614,1541333120000,Logged In,NextSong,146606,"Detroit-Warren-Dearborn, MI",72,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:30.0) Gecko/20100101 Firefox/30.0,PUT,288.62649,Thunder Road,Bruce Springsteen,2018-11-04 12:05:20,2018-08-17 15:20:32
15628986,200,F,Leia,free,Young,1963979,1542395415000,Logged In,NextSong,191918,"New York-Newark-Jersey City, NY-NJ-PA",6,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",PUT,230.47791,You Belong With Me,Taylor Swift,2018-11-16 19:10:15,2018-09-21 08:38:34
4987773,200,M,Jaxson,paid,Johnson,1800456,1539687021000,Logged In,NextSong,60964,"Ozark, AL",285,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10""",PUT,220.08118,One Day Too Late (Album Version),Skillet,2018-10-16 10:50:21,2018-09-14 03:31:43
8271487,200,M,Dartanyon,paid,Cooley,1170801,1540488439000,Logged In,NextSong,116810,"Corvallis, OR",113,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",PUT,321.82812,Lovin' You,The O'Jays,2018-10-25 17:27:19,2018-08-18 00:09:45
22534590,200,M,Dallas,paid,Garcia,1056986,1542324688000,Logged In,NextSong,25970,"Big Stone Gap, VA",61,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",PUT,348.57751,Undo,BjÃÂ¶rk,2018-11-15 23:31:28,2018-06-27 06:59:49
5663696,200,M,Michael,paid,Stewart,1574547,1539836967000,Logged In,NextSong,93310,"La Grande, OR",27,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,271.5424,It Ain't Necessarily So,Jamie Cullum,2018-10-18 04:29:27,2018-09-14 06:53:09
19992139,307,F,Brooklynn,paid,Barron,1058503,1538564851000,Logged In,Add Friend,4609,"Phoenix-Mesa-Scottsdale, AZ",3,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",PUT,,,,2018-10-03 11:07:31,2018-07-30 21:21:29
3100416,200,F,Harper,paid,Green,1769132,1539185693000,Logged In,NextSong,61639,"Los Angeles-Long Beach-Anaheim, CA",30,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10""",PUT,203.78077,Mutt,Blink-182,2018-10-10 15:34:53,2018-09-01 23:02:50
15013496,200,F,Kelsey,paid,Powell,1020318,1542248536000,Logged In,NextSong,190655,"Dallas-Fort Worth-Arlington, TX",77,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,231.94077,Hey Ma,Cam'Ron / Juelz Santana / Freekey Zeekey / Toya,2018-11-15 02:22:16,2018-09-06 15:18:47
12783533,200,F,Emalee,paid,Porter,1391025,1541660779000,Logged In,NextSong,165450,"San Diego-Carlsbad, CA",170,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,288.67873,I Want It All (Live In Milan),Depeche Mode,2018-11-08 07:06:19,2018-09-26 06:28:05
7420746,200,F,Taylor,paid,Cummings,1791601,1540301084000,Logged In,NextSong,111644,"Utica-Rome, NY",24,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,181.9424,Destination Calabria,Alex Gaudino Feat. Crystal Waters,2018-10-23 13:24:44,2018-09-18 00:36:23
8116232,200,M,Jahleel,paid,Hamilton,1058987,1540455519000,Logged In,NextSong,119840,"New Orleans-Metairie, LA",122,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",PUT,190.51057,Drop It Low,Ester Dean / Chris Brown,2018-10-25 08:18:39,2018-09-22 22:03:22
4786389,200,F,Deniya,free,Kennedy,1493608,1539639140000,Logged In,NextSong,74357,"New York-Newark-Jersey City, NY-NJ-PA",39,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,155.53261,That Was Just A Dream,Cut Copy,2018-10-15 21:32:20,2018-06-05 10:37:36
8293947,200,M,Angel,paid,House,1388244,1540492706000,Logged In,NextSong,110711,"Beaumont-Port Arthur, TX",284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,211.30404,Live to Love,Paul Cardall,2018-10-25 18:38:26,2018-09-15 05:54:30
13853320,200,F,Katherine,paid,Barry,1894310,1541967648000,Logged In,NextSong,177380,"Springfield, MA",69,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",PUT,211.01669,Tighten Up,The Black Keys,2018-11-11 20:20:48,2018-09-19 01:13:22
3417434,200,M,Cooper,paid,Wilson,1970406,1539257754000,Logged In,NextSong,66906,"Los Angeles-Long Beach-Anaheim, CA",102,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",PUT,195.7873,Streets Of Philadelphia,Bruce Springsteen,2018-10-11 11:35:54,2018-09-18 20:25:31
7099603,200,M,Brian,paid,Allen,1901081,1540228541000,Logged In,NextSong,109899,"San Diego-Carlsbad, CA",94,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",PUT,237.34812,42,Coldplay,2018-10-22 17:15:41,2018-09-25 09:45:58
8517299,200,M,Owen,paid,Ford,1514253,1540542894000,Logged In,NextSong,111709,"Deltona-Daytona Beach-Ormond Beach, FL",37,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/36.0.1985.125 Chrome/36.0.1985.125 Safari/537.36""",PUT,176.45669,Life Magazine,Cold Cave,2018-10-26 08:34:54,2018-09-16 07:39:11
403752,200,F,Ellie,paid,Clarke,1356571,1538470817000,Logged In,NextSong,26797,"San Francisco-Oakland-Hayward, CA",40,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,298.52689,Mars Needs Women (Album Version),Rob Zombie,2018-10-02 09:00:17,2018-09-27 10:34:42
21241502,200,M,Bruce,free,Yates,1196743,1538620949000,Logged In,Add to Playlist,5103,"Charlotte-Concord-Gastonia, NC-SC",173,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",PUT,,,,2018-10-04 02:42:29,2018-08-21 01:48:24
9245804,200,F,Ashlyn,paid,Williams,1623012,1540766304000,Logged In,NextSong,114537,"San Francisco-Oakland-Hayward, CA",32,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",PUT,300.19873,Forgiveness,Patty Griffin,2018-10-28 22:38:24,2018-09-25 04:18:54
16285949,200,F,Naziya,paid,Santiago,1890520,1542629904000,Logged In,NextSong,201650,"New York-Newark-Jersey City, NY-NJ-PA",15,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",PUT,223.13751,Red Hats For The Masses,Operahouse,2018-11-19 12:18:24,2018-09-29 04:49:46
21160517,200,M,Josiah,free,Garcia,1811069,1538461394000,Logged In,NextSong,1308,"Sebastian-Vero Beach, FL",52,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/7.0.2 Safari/537.74.9""",PUT,473.15546,Mass Effect (Original Mix),THOMAS DATT,2018-10-02 06:23:14,2018-09-13 18:07:59
3426282,200,F,Alexandria,free,Carlson,1600108,1539259872000,Logged In,Roll Advert,52857,"Albuquerque, NM",79,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",GET,,,,2018-10-11 12:11:12,2018-09-30 00:28:20
20332815,200,F,Yasmin,free,Hernandez,1816774,1539378243000,Logged In,NextSong,415,"Bloomington, IN",50,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36""",PUT,202.81424,Semi Automatic (Album Version),The Boxer Rebellion,2018-10-12 21:04:03,2018-09-24 07:43:31
7637120,200,F,Miranda,paid,Johnson,1572875,1540346004000,Logged In,NextSong,16087,"San Antonio-New Braunfels, TX",235,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,242.59873,If I Had Wings,Darius Rucker,2018-10-24 01:53:24,2018-09-23 19:31:27
7697565,200,M,Henry,free,Vargas,1560629,1540360903000,Logged In,NextSong,116886,"Los Angeles-Long Beach-Anaheim, CA",25,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",PUT,274.31138,Diffuse,HUM,2018-10-24 06:01:43,2018-09-28 08:37:26
12541362,200,F,Paula,paid,Brown,1201787,1541602617000,Logged In,NextSong,167208,"New York-Newark-Jersey City, NY-NJ-PA",18,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",PUT,134.32118,Ladies in Their Sensitivities,Stephen Sondheim,2018-11-07 14:56:57,2018-08-25 14:02:44
24557029,200,F,Zoey,paid,Martin,1376581,1540928481000,Logged In,NextSong,22175,"Sheboygan, WI",82,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",PUT,239.35955,Ms. Jackson,OutKast,2018-10-30 19:41:21,2018-08-30 05:43:49
10930937,200,M,Adam,paid,Lee,1994923,1541155838000,Logged In,NextSong,146508,"New Orleans-Metairie, LA",4,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,294.86975,I'm Me,Lil Wayne,2018-11-02 10:50:38,2018-08-16 19:40:32
2457341,200,F,Evelyn,free,Brown,1290000,1539036692000,Logged In,NextSong,58483,"Jacksonville, FL",12,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,202.73587,You Know I'm No Good,Amy Winehouse,2018-10-08 22:11:32,2018-09-24 07:46:09
6767575,200,M,Benjamin,paid,Long,1245781,1540132262000,Logged In,NextSong,96714,"Richmond, VA",21,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),PUT,236.01587,Hallowed Be My Name,HAMMERFALL,2018-10-21 14:31:02,2018-09-01 23:59:49
20546792,200,M,Robert,free,Sullivan,1045971,1540201500000,Logged In,NextSong,12156,"Knoxville, TN",37,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,PUT,277.65506,Wake For Young Souls,Third Eye Blind,2018-10-22 09:45:00,2018-08-10 09:09:43
12333574,200,F,Isabella,paid,Phillips,1990360,1541551791000,Logged In,NextSong,161570,"Vallejo-Fairfield, CA",257,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",PUT,214.15138,Scar (Australian Version),Missy Higgins,2018-11-07 00:49:51,2018-09-16 12:27:02
